SD-JWT,CSD-JWT,MERKLE,BBS+
2488,546,2210,4020
2691,823,2234,3887
2894,1100,2463,3730
3096,1378,2475,3579
3299,1655,2904,3432
3508,1939,2944,3278
3718,2223,3207,3135
3928,2508,3219,3006
4138,2792,3467,2851
4347,3076,3495,2715
