SD-JWT,CSD-JWT,MERKLE,BBS+
5766,546,2400,8798
6374,1378,2666,8342
6995,2223,3398,7902
7624,3076,4092,7470
8254,3930,4802,7038
8883,4783,5114,6630
9512,5636,6223,6187
10142,6490,6732,5771
10771,7343,7659,5335
11400,8196,7972,4923
