SD-JWT,CSD-JWT,MERKLE,BBS+
3306,546,2192,5224
3610,962,2130,4991
3914,1378,2458,4766
4220,1796,2807,4539
4535,2223,3190,4334
4850,2650,3122,4119
5164,3076,3888,3902
5479,3503,4050,3678
5794,3930,4614,3472
6108,4356,4562,3256
