SD-JWT,CSD-JWT,MERKLE,BBS+
1664,546,2000,2842
1766,684,1911,2762
1867,823,2024,2702
1968,962,1938,2623
2070,1100,2254,2550
2171,1239,2160,2464
2272,1378,2266,2398
2374,1516,2183,2306
2475,1655,2280,2232
2579,1796,2203,2159
