SD-JWT,CSD-JWT,MERKLE,BBS+
8214,546,2600,12374
9128,1796,3215,11688
10072,3076,4292,11042
11016,4356,4950,10422
11960,5636,6415,9756
12904,6916,7088,9128
13848,8196,8167,8492
14792,9476,8832,7851
15736,10756,10528,7218
16680,12036,11391,6572
