SD-JWT,CSD-JWT,MERKLE,BBS+
52,46,94,53702
53,48,102,52001
56,52,117,50223
58,54,140,48147
60,57,148,46471
62,59,120,44777
65,62,150,43107
67,64,140,41432
68,66,157,40089
69,68,187,38108
